"filename", "language", "Bison", "C++", "C", "Lex/Flex", "Batch", "XML", "Log", "comment", "blank", "total"
"d:\Code\Cpp\compiler\compiler\Debug\compiler.log", "Log", 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"d:\Code\Cpp\compiler\compiler\compiler.cpp", "C++", 0, 276, 0, 0, 0, 0, 0, 49, 40, 365
"d:\Code\Cpp\compiler\compiler\compiler.vcxproj", "XML", 0, 0, 0, 0, 0, 150, 0, 0, 0, 150
"d:\Code\Cpp\compiler\module\cffx.l", "Lex/Flex", 0, 0, 0, 47, 0, 0, 0, 0, 9, 56
"d:\Code\Cpp\compiler\module\cmd.bat", "Batch", 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"d:\Code\Cpp\compiler\module\lex.yy.c", "C", 0, 0, 1327, 0, 0, 0, 0, 237, 305, 1869
"d:\Code\Cpp\compiler\module\yffx.l", "Lex/Flex", 0, 0, 0, 170, 0, 0, 0, 16, 43, 229
"d:\Code\Cpp\compiler\module\yffx.tab.c", "C", 0, 0, 1497, 0, 0, 0, 0, 338, 418, 2253
"d:\Code\Cpp\compiler\module\yffx.tab.h", "C++", 0, 43, 0, 0, 0, 0, 0, 33, 12, 88
"d:\Code\Cpp\compiler\module\yffx.y", "Bison", 228, 0, 0, 0, 0, 0, 0, 5, 69, 302
"d:\Code\Cpp\compiler\module\yyfx.l", "Lex/Flex", 0, 0, 0, 81, 0, 0, 0, 6, 13, 100
"d:\Code\Cpp\compiler\module\yyfx.tab.c", "C", 0, 0, 1754, 0, 0, 0, 0, 333, 365, 2452
"d:\Code\Cpp\compiler\module\yyfx.tab.h", "C++", 0, 42, 0, 0, 0, 0, 0, 35, 18, 95
"d:\Code\Cpp\compiler\module\yyfx.y", "Bison", 572, 0, 0, 0, 0, 0, 0, 11, 40, 623
"Total", "-", 800, 361, 4578, 298, 12, 150, 2, 1063, 1336, 8600
